Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,LIPJAN,409.28,278.51
Arsimi,Individual,FUSHË KOSOVË,285.77,314.89
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FUSHË KOSOVË,269.17,194.43
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GRAÇANICË,364.91,315.21
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,NOVOBËRDË,194.41,242.79
Industria perpunuese,Individual,SHTËRPCË,183.33,163.33
Transporti dhe magazinimi,Individual,DRAGASH,223.13,170.0
Arsimi,Individual,MITROVICË,140.0,200.0
Arsimi,SH.P.K.,DEÇAN,468.0,293.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PRIZREN,343.77,311.96
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ZVEÇAN,170.0,260.0
Industria nxjerrese,Individual,MALISHEVË,280.75,250.0
Aktivitetet e patundshmerise,Individual,FERIZAJ,225.0,200.0
"Artet, Argetimi dhe rekreacioni",Individual,RAHOVEC,185.0,170.0
Aktivitetet financiare dhe te sigurimit,Individual,FERIZAJ,218.0,176.45
Akomodimi dhe sherbimi ushqimor,SH.P.K.,DEÇAN,231.26,215.52
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PODUJEVË,267.66,278.05
Transporti dhe magazinimi,SH.P.K.,HANI I ELEZIT,509.84,410.3
Arsimi,Individual,DEÇAN,159.3,220.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,SUHAREKË,776.18,264.08
Industria perpunuese,SH.P.K.,KAMENICË,369.48,273.62
Aktivitetet e shendetit te njeriut dhe te punes sociale,Ortakëria e përgj.,PEJË,227.78,307.04
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË VERIORE,225.0,203.78
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KAÇANIK,310.0,206.0
Industria perpunuese,Individual,LIPJAN,278.41,262.1
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LEPOSAVIQ,200.88,208.75
"Aktivitetet profesionale, shkencore dhe teknike",Individual,MITROVICË,291.27,301.72
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,FERIZAJ,326.45,280.36
Industria perpunuese,SH.P.K.,VITI,326.66,257.6
Ndertimtaria,SH.P.K.,GRAÇANICË,749.25,449.96
Arsimi,Individual,KLINË,146.32,110.0
Sherbimet administrative dhe mbeshtetese,Individual,GJAKOVË,348.61,397.79
Aktivitetet e tjera sherbyese,Individual,SKENDERAJ,190.0,190.83
Arsimi,Individual,MITROVICË,199.52,188.0
Ndertimtaria,Individual,PODUJEVË,358.09,298.03
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLLOKOT,185.0,180.0
Transporti dhe magazinimi,Individual,SKENDERAJ,200.0,260.0
Transporti dhe magazinimi,Individual,KAÇANIK,312.21,323.83
Industria nxjerrese,SH.P.K.,FERIZAJ,242.0,170.0
Informimi dhe komunikimi,SH.P.K.,LIPJAN,407.56,310.71
Sherbimet administrative dhe mbeshtetese,Individual,PRISHTINË,444.05,481.04
Aktivitetet e tjera sherbyese,OJQ,OBILIQ,174.36,300.0
Industria perpunuese,Individual,GRAÇANICË,398.66,245.16
Industria perpunuese,Individual,JUNIK,280.0,280.0
Person Fizik,Person fizik,ISTOG,239.34,277.77
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,GRAÇANICË,206.31,300.0
Mungon aktiviteti,OJQ,SKENDERAJ,339.9,327.68
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,FERIZAJ,364.08,434.95
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GLLOGOC,303.8,235.5
Sherbimet administrative dhe mbeshtetese,SH.P.K.,KAMENICË,322.67,455.71
"Aktivitetet profesionale, shkencore dhe teknike",Individual,SKENDERAJ,187.12,288.49
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,HANI I ELEZIT,199.45,254.26
Informimi dhe komunikimi,SH.P.K.,GJAKOVË,576.77,413.44
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,528.86,419.56
"Aktivitetet profesionale, shkencore dhe teknike",Individual,MITROVICË,250.81,285.15
Arsimi,Individual,PARTESH,130.0,170.0
Industria perpunuese,Individual,KAMENICË,193.02,206.05
Transporti dhe magazinimi,Shoqëri akcionare,GJAKOVË,335.55,348.89
Mungon aktiviteti,OJQ,GJAKOVË,755.71,613.23
Ndertimtaria,SH.P.K.,PEJË,379.47,347.59
Industria nxjerrese,SH.P.K.,DEÇAN,287.5,330.0
Sherbimet administrative dhe mbeshtetese,Individual,RAHOVEC,170.0,243.43
Ndertimtaria,Individual,SKENDERAJ,296.73,263.97
Mungon aktiviteti, Bashkësi Fetare,MITROVICË,454.85,180.0
Aktivitetet e tjera sherbyese,SH.P.K.,LIPJAN,165.0,170.0
Ndertimtaria,SH.P.K.,GLLOGOC,427.03,350.53
Person Fizik,Person fizik,KLLOKOT,210.56,262.0
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Individual,SUHAREKË,190.0,200.0
Aktivitetet financiare dhe te sigurimit,Individual,SHTIME,185.0,170.0
Transporti dhe magazinimi,SH.P.K.,PEJË,258.54,225.65
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,LIPJAN,295.38,252.63
Aktivitetet financiare dhe te sigurimit,Individual,PRIZREN,294.29,292.79
"Aktivitetet profesionale, shkencore dhe teknike",Tjeter,KLINË,185.0,200.0
Aktivitetet e tjera sherbyese,OJQ,GJILAN,70.0,317.29
Arsimi,Ortakëria e përgj.,FERIZAJ,388.13,321.27
Mungon aktiviteti,OJQ,VUSHTRRI,416.45,291.1
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,SHTIME,128.33,235.56
Informimi dhe komunikimi,SH.P.K.,KLINË,166.67,175.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJAKOVË,275.0,252.5
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,KLINË,433.0,295.66
Aktivitetet e tjera sherbyese,Individual,DEÇAN,231.67,271.43
Aktivitetet e tjera sherbyese, Bashkësi Fetare,RAHOVEC,601.84,120.0
Industria nxjerrese,SH.P.K.,MITROVICË,170.0,170.0
Aktivitetet e tjera sherbyese,SH.P.K.,GLLOGOC,110.0,190.0
Mungon aktiviteti,OJQ,MITROVICË VERIORE,463.03,463.01
Arsimi,SH.P.K.,ISTOG,150.23,244.5
Mungon aktiviteti,OJQ,FERIZAJ,440.92,340.33
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PODUJEVË,267.55,235.96
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GLLOGOC,208.57,260.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,LEPOSAVIQ,283.33,256.25
Aktivitetet financiare dhe te sigurimit,SH.P.K.,VUSHTRRI,350.87,200.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PEJË,394.1,230.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,KAÇANIK,256.67,170.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,MITROVICË VERIORE,450.0,420.0
Person Fizik,Person fizik,GJILAN,268.1,278.75
Arsimi,Individual,PEJË,191.82,209.25
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PRIZREN,421.61,230.15
Aktivitetet e tjera sherbyese,SH.P.K.,GLLOGOC,252.43,316.67
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,RAHOVEC,271.13,228.93
Aktivitetet financiare dhe te sigurimit,SH.P.K.,VUSHTRRI,717.93,350.0
Industria perpunuese,Ortakëria e përgj.,FERIZAJ,269.0,266.67
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,SUHAREKË,264.29,230.0
Transporti dhe magazinimi,SH.P.K.,GJAKOVË,272.08,269.99
Aktivitetet e tjera sherbyese,Organizata Buxhetore,OBILIQ,312.96,267.03
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SKENDERAJ,250.78,232.44
Akomodimi dhe sherbimi ushqimor,Individual,HANI I ELEZIT,161.54,195.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,MITROVICË,547.61,525.85
Person Fizik,Person fizik,VUSHTRRI,248.46,285.82
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLINË,320.26,259.77
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FERIZAJ,465.81,269.19
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLLOKOT,203.33,306.67
Industria nxjerrese,SH.P.K.,KAMENICË,241.33,170.0
Ndertimtaria,Individual,ZUBIN POTOK,228.46,200.0
Transporti dhe magazinimi,SH.P.K.,GJAKOVË,226.84,217.92
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,NOVOBËRDË,253.33,380.0
Arsimi,Individual,PRISHTINË,312.28,344.92
Aktivitetet e tjera sherbyese,Individual,VUSHTRRI,191.7,171.04
Transporti dhe magazinimi,Individual,VUSHTRRI,200.74,231.16
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PODUJEVË,329.33,308.23
Transporti dhe magazinimi,SH.P.K.,PODUJEVË,342.41,401.25
Industria perpunuese,Individual,MITROVICË VERIORE,170.0,200.0
Transporti dhe magazinimi,SH.P.K.,DEÇAN,223.23,296.35
Person Fizik,Person fizik,PEJË,353.5,260.28
Informimi dhe komunikimi,Individual,SUHAREKË,413.9,327.72
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VITI,237.77,236.84
Industria nxjerrese,Individual,PRIZREN,185.0,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,171.33,166.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SKENDERAJ,290.0,206.0
Aktivitetet e tjera sherbyese,Individual,PRIZREN,198.1,213.83
Sherbimet administrative dhe mbeshtetese,Individual,KAÇANIK,217.6,296.19
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRIZREN,253.48,209.33
Bujqesia;Pylltaria dhe Peshkimi,Individual,NOVOBËRDË,176.67,240.0
Industria perpunuese,SH.P.K.,DEÇAN,451.71,289.07
Transporti dhe magazinimi,Shoqëri akcionare,MITROVICË,315.43,246.78
Ndertimtaria,SH.P.K.,ZVEÇAN,190.0,200.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GRAÇANICË,497.45,560.57
"Artet, Argetimi dhe rekreacioni",Individual,RAHOVEC,185.0,170.0
Industria perpunuese,Individual,DRAGASH,205.57,215.79
Akomodimi dhe sherbimi ushqimor,Individual,GRAÇANICË,170.86,169.17
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLLOKOT,235.0,170.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAÇANIK,217.91,198.33
Transporti dhe magazinimi,SH.P.K.,PRIZREN,415.16,315.62
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,VUSHTRRI,260.0,300.0
Industria perpunuese,Individual,KLINË,228.66,211.34
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,245.69,208.88
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,KLINË,195.0,218.33
Bujqesia;Pylltaria dhe Peshkimi,Individual,MAMUSHË,186.0,190.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SHTIME,273.33,312.5
Transporti dhe magazinimi,Individual,HANI I ELEZIT,517.92,200.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Shoqëri akcionare,PRISHTINË,137.77,147.64
"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,PRISHTINË,422.64,441.12
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,NOVOBËRDË,292.97,185.83
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,FUSHË KOSOVË,272.53,328.15
Aktivitetet e tjera sherbyese,SH.P.K.,VITI,336.67,230.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,309.08,327.03
Sherbimet administrative dhe mbeshtetese,SH.P.K.,VUSHTRRI,475.76,366.37
Bujqesia;Pylltaria dhe Peshkimi,Individual,VITI,203.53,183.33
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KLLOKOT,237.5,300.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,FUSHË KOSOVË,170.0,300.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJILAN,193.85,192.86
Ndertimtaria,Individual,KAMENICË,224.17,170.0
Industria perpunuese,SH.P.K.,PODUJEVË,310.52,254.7
"Artet, Argetimi dhe rekreacioni",Tjeter,PRIZREN,279.47,281.08
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MITROVICË,261.69,244.08
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,SUHAREKË,300.0,312.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLLOKOT,196.36,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PODUJEVË,287.55,238.68
Industria perpunuese,Ortakëria e përgj.,VITI,170.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,OBILIQ,278.38,230.32
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VITI,227.41,257.5
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KLINË,402.94,264.0
Akomodimi dhe sherbimi ushqimor,Individual,FUSHË KOSOVË,207.55,231.2
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,RAHOVEC,190.0,170.0
Aktivitetet e tjera sherbyese,OJQ,GLLOGOC,384.92,373.38
Akomodimi dhe sherbimi ushqimor,Individual,GJAKOVË,185.02,183.45
Informimi dhe komunikimi,SH.P.K.,VITI,299.23,416.67
Arsimi,Organizata Buxhetore,PEJË,260.05,267.61
Industria perpunuese,SH.P.K.,SHTËRPCË,156.15,170.0
Aktivitetet e tjera sherbyese,Parti Politike,PRISHTINË,504.09,437.56
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,DRAGASH,459.29,353.1
Informimi dhe komunikimi,SH.P.K.,KLINË,180.0,175.0
Person Fizik,Person fizik,GLLOGOC,252.45,239.08
Arsimi,SH.P.K.,GLLOGOC,140.0,160.56
"Artet, Argetimi dhe rekreacioni",Individual,PRIZREN,220.0,203.33
Ndertimtaria,Individual,KAMENICË,205.35,196.82
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PEJË,258.06,273.37
"Artet, Argetimi dhe rekreacioni",SH.P.K.,PEJË,503.95,284.88
Transporti dhe magazinimi,Shoqëri akcionare,MITROVICË,328.0,226.56
Informimi dhe komunikimi,Ortakëria e përgj.,FERIZAJ,289.6,382.2
Arsimi,Individual,PARTESH,97.5,170.0
Person Fizik,Person fizik,LIPJAN,295.92,263.05
Aktivitetet e tjera sherbyese,Ortakëria e përgj.,PRISHTINË,240.41,247.86
Aktivitetet e patundshmerise,Ndërmarrje pub.,MITROVICË,196.93,214.94
Sherbimet administrative dhe mbeshtetese,SH.P.K.,VITI,293.46,213.33
Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË,188.42,201.46
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,OBILIQ,351.79,243.95
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FUSHË KOSOVË,136.67,187.32
Informimi dhe komunikimi,SH.P.K.,VITI,504.08,418.4
Aktivitetet e tjera sherbyese, Bashkësi Fetare,LIPJAN,512.22,181.43
Aktivitetet e tjera sherbyese, Bashkësi Fetare,FUSHË KOSOVË,280.66,40.0
Arsimi,SH.P.K.,MALISHEVË,219.25,196.07
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PODUJEVË,250.0,225.0
Aktivitetet e tjera sherbyese,SH.P.K.,VUSHTRRI,216.67,196.67
Industria perpunuese,Individual,HANI I ELEZIT,268.67,240.36
"Artet, Argetimi dhe rekreacioni",SH.P.K.,ISTOG,500.53,300.69
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VITI,340.96,260.05
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,KLLOKOT,372.22,400.0
Aktivitetet e tjera sherbyese,SH.P.K.,VUSHTRRI,365.26,311.52
Mungon aktiviteti,Organizata Buxhetore,KAMENICË,524.0,486.27
Industria perpunuese,Shoqëri akcionare,PRISHTINË,591.67,469.17
Aktivitetet e tjera sherbyese,OJQ,PRIZREN,473.76,415.27
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,DRAGASH,223.33,200.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VUSHTRRI,259.49,239.09
Ndertimtaria,SH.P.K.,RAHOVEC,335.65,397.46
Sherbimet administrative dhe mbeshtetese,SH.P.K.,KAMENICË,299.69,264.54
Transporti dhe magazinimi,Individual,VITI,261.65,283.33
Ndertimtaria,Individual,DRAGASH,194.93,197.5
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,DEÇAN,475.87,391.88
Informimi dhe komunikimi,SH.P.K.,GJAKOVË,648.64,488.26
Person Fizik,Person fizik,NOVOBËRDË,200.0,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MITROVICË VERIORE,209.39,326.47
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,ISTOG,214.68,276.8
"Artet, Argetimi dhe rekreacioni",Individual,KLINË,411.71,348.75
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PEJË,290.54,330.7
Transporti dhe magazinimi,SH.P.K.,FERIZAJ,424.54,329.18
Aktivitetet e tjera sherbyese,Individual,DEÇAN,226.0,200.0
Arsimi,Individual,LIPJAN,210.91,281.69
Industria perpunuese,SH.P.K.,MALISHEVË,327.8,284.21
Transporti dhe magazinimi,Individual,VITI,255.0,256.67
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PRIZREN,315.33,284.77
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MALISHEVË,288.7,246.46
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,276.42,241.04
Informimi dhe komunikimi,Individual,RAHOVEC,338.25,208.19
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,195.13,237.07
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,396.27,353.2
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,MITROVICË,374.96,174.29
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KLLOKOT,212.94,195.83
Transporti dhe magazinimi,Shoqëri akcionare,SUHAREKË,419.24,414.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,244.25,197.63
Informimi dhe komunikimi,SH.P.K.,DEÇAN,364.75,406.2
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,SKENDERAJ,232.73,215.07
Industria perpunuese,Ortakëria e përgj.,PEJË,403.33,200.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,DEÇAN,388.43,231.79
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ZUBIN POTOK,209.98,270.85
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KAMENICË,132.0,156.0
Sherbimet administrative dhe mbeshtetese,Individual,PEJË,247.89,258.9
Aktivitetet e tjera sherbyese,Agjension i Huaj Qeveritar,PRISHTINË,400.0,400.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,DEÇAN,534.65,536.39
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,VUSHTRRI,261.39,353.41
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MITROVICË,245.35,287.08
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KAMENICË,422.54,654.55
Transporti dhe magazinimi,Individual,PODUJEVË,240.42,248.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAMENICË,257.4,250.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,KAÇANIK,204.87,258.1
Ndertimtaria,SH.P.K.,SKENDERAJ,499.89,313.08
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,198.92,213.82
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,ISTOG,313.98,273.85
"Aktivitetet profesionale, shkencore dhe teknike",Individual,GRAÇANICË,487.5,400.0
Mungon aktiviteti,OJQ,MALISHEVË,350.25,362.22
Industria nxjerrese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,297.29,344.35
Arsimi,SH.P.K.,GJAKOVË,170.0,187.14
Industria perpunuese,Individual,GRAÇANICË,537.51,282.9
Aktivitetet e patundshmerise,Individual,KLINË,200.0,225.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ZUBIN POTOK,200.82,260.85
Akomodimi dhe sherbimi ushqimor,Individual,SHTIME,246.31,198.18
Industria perpunuese,Individual,FUSHË KOSOVË,278.74,221.14
Akomodimi dhe sherbimi ushqimor,Individual,VITI,161.54,169.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,KAMENICË,545.0,545.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GRAÇANICË,461.39,238.49
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,VUSHTRRI,489.59,282.72
"Aktivitetet profesionale, shkencore dhe teknike",Individual,OBILIQ,239.63,215.79
Industria perpunuese,Individual,MAMUSHË,191.71,200.0
Industria perpunuese,SH.P.K.,SKENDERAJ,487.63,391.05
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje shoq.,PRIZREN,314.29,314.29
Informimi dhe komunikimi,Individual,SUHAREKË,502.02,355.6
Transporti dhe magazinimi,Individual,FERIZAJ,226.83,209.34
Arsimi,Individual,GRAÇANICË,126.17,58.48
Industria perpunuese,Individual,MITROVICË,224.36,193.02
Sherbimet administrative dhe mbeshtetese,Shoqëri akcionare,PEJË,326.28,293.88
Aktivitetet e patundshmerise,Shoqëri akcionare,GJILAN,302.38,299.2
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PODUJEVË,297.47,249.3
Arsimi,Ortakëria e përgj.,VUSHTRRI,110.0,170.0
Aktivitetet financiare dhe te sigurimit,SH.P.K.,SUHAREKË,588.7,298.31
Aktivitetet e tjera sherbyese, Bashkësi Fetare,GJAKOVË,318.32,494.76
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,FUSHË KOSOVË,384.97,356.91
Aktivitetet e tjera sherbyese,SH.P.K.,GJILAN,195.71,265.7
Transporti dhe magazinimi,Individual,FERIZAJ,245.58,240.27
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GLLOGOC,342.64,309.08
Ndertimtaria,Dega e Shoqërisë së Huaj,FERIZAJ,701.76,271.0
Industria perpunuese,Individual,SKENDERAJ,262.64,228.63
"Artet, Argetimi dhe rekreacioni",Individual,PEJË,266.67,185.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,KAÇANIK,484.34,301.2
Transporti dhe magazinimi,Shoqëri akcionare,FERIZAJ,396.85,466.68
Sherbimet administrative dhe mbeshtetese,SH.P.K.,FUSHË KOSOVË,447.31,593.53
"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,MITROVICË,367.4,372.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Projekt,PRISHTINË,548.36,449.73
